Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147115,146406529,G,16.06,10.1395,-12.3172,1.8416,15.9538,0.115179,-0.882068,-1,T,10.9528,9.71325,-4.99536,0.807688,10.9225,0.07388,-0.475009,1,5.36848
147115,146477657,G,42.2491,5.94251,-7.84755,41.0862,9.84365,2.13604,-0.922675,-1,T,2.73303,0.759003,0.202275,2.61559,0.785494,1.9179,0.260447,1,3.19113
147115,146503161,G,5.30562,1.71409,0.727413,-4.96702,1.86205,-1.7077,0.401339,-1,G,13.4233,9.98773,-8.92162,0.907998,13.3922,0.0677489,-0.729078,1,11.4114
147115,146701329,G,11.1024,0.580799,3.64768,10.4695,3.69363,1.76476,1.4129,-1,G,6.77233,1.81605,-5.83802,2.91079,6.11396,0.459724,-1.26921,-1,11.3988
147115,146732753,G,31.8047,-8.48132,-14.4664,-27.0244,16.7693,-1.25508,-2.10106,1,T,4.93975,0.90046,0.781621,4.79252,1.19238,2.09938,0.714866,1,24.7216
147115,146781361,G,6.85662,-3.84729,-0.672122,5.6346,3.90556,1.16256,-2.96864,-1,G,34.2061,9.2571,0.958115,32.9156,9.30655,1.97579,0.103133,-1,13.0646
147115,146844193,G,15.2851,-4.24481,-0.64849,14.6692,4.29406,1.94243,-2.98999,1,G,4.60298,3.96756,1.66815,1.62848,4.30399,0.369875,0.398009,-1,11.3493
147115,146856769,G,6.63616,0.431445,1.04269,6.53866,1.12842,2.45742,1.17847,-1,T,2.82343,-0.520467,-0.641904,2.69772,0.826394,1.89891,-2.2521,1,2.00115
147115,146868505,G,29.7304,-8.77708,2.77692,-28.269,9.20589,-1.84059,2.83517,1,T,3.33215,-0.0573196,1.08637,-3.14779,1.08788,-1.78422,1.62351,-1,3.62562
147115,146936401,G,11.5578,8.53583,-2.80937,7.26757,8.98626,0.739481,-0.31796,-1,T,8.87073,0.361776,1.67128,8.70371,1.70999,2.32992,1.35762,1,9.04314
147115,146989753,G,32.845,8.88324,-8.09812,-30.5662,12.0205,-1.66303,-0.739197,1,T,4.99846,1.55075,0.145847,-4.7484,1.55759,-1.83369,0.0937735,1,3.59177
147115,147025529,G,52.1593,-11.0638,-0.957221,-50.9633,11.1051,-2.22851,-3.05529,-1,T,5.64201,-1.22231,0.732841,-5.45803,1.42516,-2.05257,2.6015,-1,2.57438
147115,147116673,G,11.7307,7.28818,3.00805,8.68521,7.88454,0.951389,0.391432,-1,G,6.32077,-3.16895,-3.59171,4.12289,4.78985,0.779411,-2.29374,1,12.0208
147115,146012074,G,5.77622,-4.83406,1.59987,2.72505,5.09193,0.512446,2.82198,1,T,4.14631,-1.32662,0.740657,3.85645,1.51938,1.66132,2.6324,-1,3.42176
147115,146034530,G,6.84871,3.49448,-0.512234,-5.86684,3.53182,-1.28095,-0.145547,1,G,11.2728,-6.29117,0.389985,-9.34525,6.30325,-1.18508,3.07968,-1,9.44163
147115,146045746,G,5.73975,1.73204,5.1803,1.76012,5.46219,0.316906,1.24813,-1,T,3.5593,1.22907,0.785158,3.24505,1.45845,1.53996,0.568479,1,4.13105
147115,146249122,G,17.2481,5.97737,-1.14681,16.1382,6.08639,1.70208,-0.189555,1,G,6.96795,-6.15,2.58134,2.01377,6.66977,0.297516,2.74419,1,15.9636
147115,146268842,G,9.98001,0.331898,4.06194,-9.10933,4.07548,-1.54411,1.48927,1,G,6.78818,2.70863,2.36981,-5.75461,3.59898,-1.24843,0.71878,-1,3.10213
147115,146283010,G,11.2716,3.39559,2.98729,10.324,4.5226,1.56338,0.721516,-1,T,8.96419,-7.50999,-4.48111,1.96606,8.7453,0.222962,-2.60361,1,15.4688
147115,146373010,G,14.2553,2.15342,4.22549,13.4428,4.74257,1.76477,1.09948,1,G,5.04487,-1.091,-3.40582,3.55663,3.5763,0.87748,-1.8808,1,9.03953
147115,146400874,G,19.8829,3.92643,1.03435,-19.4636,4.06039,-2.27112,0.257582,1,T,6.54204,1.70093,-0.894451,-6.25251,1.92177,-1.89571,-0.484121,-1,2.29611
147115,146489322,G,11.1362,-2.02197,0.77095,-10.9235,2.16396,-2.32179,2.77732,-1,T,4.20663,-0.859842,-1.07785,-3.97284,1.3788,-1.78025,-2.24416,1,2.25939
147115,146585722,G,7.36361,-4.00746,-1.51492,-5.98806,4.28424,-1.13664,-2.78017,1,G,6.77549,0.100536,3.78065,5.62074,3.78199,1.18708,1.54421,1,13.3933
147115,146601786,G,13.6224,2.81221,4.5391,12.5318,5.33966,1.58883,1.01612,-1,T,6.08105,-0.355579,1.24075,5.94155,1.2907,2.23153,1.8499,1,2.74196
147115,146795442,G,14.0277,9.51808,3.91846,-9.52984,10.2931,-0.827955,0.39054,-1,T,3.56894,0.329477,-0.790274,-3.4631,0.856205,-2.1055,-1.17579,-1,5.83664
147115,146929506,G,6.28845,-0.351279,-1.1428,6.17285,1.19557,2.34394,-1.86902,-1,T,22.8036,3.34829,-3.1802,22.3309,4.61787,2.27971,-0.759657,1,2.49286
147115,146945258,G,13.1929,-7.41232,-9.56126,5.26142,12.0979,0.422243,-2.23026,-1,T,3.3476,0.794925,1.31602,-2.97178,1.53747,-1.41322,1.02741,1,12.5129
147115,146996082,G,10.5869,10.2703,-1.72268,1.90379,10.4138,0.18181,-0.166186,1,T,3.72201,0.111912,-1.05395,3.56635,1.05988,1.92792,-1.46501,1,7.70211
147115,147028266,G,31.5917,-5.42123,0.305088,31.1214,5.42981,2.44667,3.08538,-1,G,11.5158,9.03241,1.2669,7.02951,9.12083,0.709633,0.139352,-1,19.6788
147115,147089714,G,21.1686,3.2653,2.08431,20.8109,3.87383,2.38293,0.568122,-1,G,11.054,-4.21826,-1.75299,10.0654,4.568,1.53109,-2.74773,1,9.16145
147115,147126082,G,9.03754,4.14417,5.62307,-5.7335,6.9852,-0.748833,0.935671,1,G,8.25538,7.86737,0.451699,2.45774,7.88033,0.307036,0.0573512,-1,10.3506
147115,145968203,G,16.2829,2.29992,6.66963,14.6748,7.05504,1.47887,1.23873,-1,G,33.8822,1.32742,-7.55284,33.0028,7.6686,2.16584,-1.39682,-1,15.1477
147115,146204019,G,29.8694,10.4723,-4.58861,-27.5943,11.4334,-1.61461,-0.412971,-1,T,5.13132,1.1067,0.651619,-4.96688,1.28429,-2.06204,0.532139,1,3.9047
147115,146256699,G,17.8674,-5.36572,1.21564,16.999,5.5017,1.84646,2.9188,-1,G,23.4571,-3.70396,2.25138,23.0529,4.33451,2.37305,2.59544,1,3.04704
147115,146263307,G,12.3899,7.83826,-2.06789,9.36932,8.10645,0.987357,-0.257942,1,T,4.96092,3.83351,0.55285,3.09808,3.87317,0.732577,0.143228,1,2.66261
147115,146262683,G,25.6347,0.16673,-5.84477,24.9587,5.84714,2.15786,-1.54228,1,T,16.9551,-1.42222,-2.59921,16.6939,2.96287,2.42981,-2.07147,-1,2.46478
147115,146307971,G,10.9848,-8.49717,-4.28189,5.48798,9.51506,0.548802,-2.67481,1,T,5.42991,0.378669,-1.20506,5.27989,1.26315,2.13745,-1.26633,-1,7.58147
147115,146418331,G,12.0293,0.555614,2.96391,11.6448,3.01553,2.06058,1.38549,1,G,8.43597,0.75579,3.87132,7.45628,3.9444,1.39349,1.37799,-1,2.35354
147115,146484315,G,45.8129,-2.9409,13.7246,43.6096,14.0361,1.85174,1.78188,-1,G,14.2515,3.62358,-13.6922,1.57748,14.1635,0.111147,-1.31208,1,39.565
147115,146516659,G,13.4191,-3.96578,-0.32714,12.8151,3.97925,1.88595,-3.05929,-1,T,12.8612,-1.62348,-1.54638,12.6638,2.24209,2.43223,-2.38052,1,2.59407
147115,146544251,G,22.6757,1.47004,-7.13952,21.4719,7.28929,1.80113,-1.36773,1,T,3.38293,-1.32728,-0.857738,2.98926,1.58031,1.39406,-2.56787,-1,4.08992
147115,146540947,G,10.9397,-9.4747,3.17648,-4.45041,9.99299,-0.431809,2.81811,1,T,6.00539,-5.64067,0.0377968,-2.05789,5.6408,-0.35718,3.13489,1,2.44384
147115,146623827,G,30.4101,0.0943281,13.4825,27.2576,13.4828,1.45328,1.5638,-1,T,4.87981,-2.463,1.10012,4.06506,2.69753,1.19862,2.72152,1,6.78274
147115,146669811,G,21.303,-0.00967332,-3.93636,-20.9358,3.93637,-2.37307,-1.57325,-1,G,5.72133,-0.924993,4.76116,-3.03286,4.85018,-0.590407,1.76268,1,12.4201
147115,146739891,G,29.5557,3.70617,14.704,25.3689,15.1639,1.28704,1.32389,-1,T,7.35541,1.92043,3.56179,6.14138,4.04653,1.20454,1.0763,-1,2.05671
147115,146740243,G,6.87726,-1.54392,-3.74301,5.55803,4.04893,1.12202,-1.96202,1,G,12.8836,-1.30081,11.0049,6.57099,11.0815,0.562787,1.68845,-1,13.5112
147115,146797251,G,5.78377,0.632781,-2.43235,5.20808,2.51331,1.47547,-1.31629,1,G,7.95451,6.26032,-3.68221,-3.24235,7.26294,-0.432786,-0.531685,1,9.99868
147115,146833467,G,4.94996,-0.0880322,-4.83346,1.05869,4.83426,0.217283,-1.58901,1,G,4.03912,0.840994,3.88248,0.72277,3.97252,0.180953,1.35748,-1,8.72689
147115,146925651,G,15.4271,5.64377,-5.20032,-13.3824,7.67434,-1.32281,-0.744527,1,G,9.292,-3.66489,1.85184,-8.33482,4.10618,-1.45689,2.67372,1,11.1475
147115,146941643,G,14.2253,1.69659,2.80809,-13.8414,3.28082,-2.14648,1.02731,-1,G,7.23681,0.487068,-7.01113,-1.72256,7.02802,-0.242708,-1.50144,1,13.9983
147115,146949875,G,12.4258,2.79156,-2.93723,-11.746,4.05217,-1.78591,-0.81082,-1,G,6.29049,-4.31194,3.08757,-3.38129,5.30339,-0.600774,2.52017,-1,10.9146
147115,146978203,G,8.4512,-1.32355,-2.84339,-7.84697,3.13634,-1.64796,-2.00645,1,G,24.92,-3.22765,-3.23174,-24.4976,4.56748,-2.38134,-2.35556,-1,3.13747
147115,147032859,G,16.1843,-2.94591,-1.48919,15.8438,3.30092,2.2724,-2.67355,1,G,7.46374,2.97182,0.248575,6.84125,2.9822,1.5679,0.0834497,-1,6.5636
147115,147145555,G,10.3589,-0.0468842,-5.59927,-8.71449,5.59947,-1.2256,-1.57917,-1,G,13.5775,2.44328,-4.97439,-12.3945,5.54204,-1.54464,-1.11424,1,3.13356
147115,147152347,G,23.2867,3.13583,-11.6036,-19.9445,12.0199,-1.27999,-1.30686,-1,T,4.5956,1.03108,0.173734,-4.47382,1.04562,-2.16017,0.166928,-1,5.75886
147115,147199924,G,9.27493,6.5904,3.7996,-5.30498,7.60726,-0.6505,0.522988,1,T,3.27822,-0.831676,-0.452264,3.13677,0.946693,1.91315,-2.64352,1,10.417
147115,147247748,G,7.93691,1.10924,-2.96668,7.2768,3.16727,1.56928,-1.21299,-1,T,5.03901,1.62577,-0.420971,4.74975,1.67938,1.76269,-0.253372,1,2.18637
147115,147317364,G,37.0168,-4.54172,10.2091,35.2899,11.1737,1.86735,1.98938,-1,T,5.44658,-1.20002,0.430641,5.2942,1.27495,2.13104,2.79705,1,3.14563
147115,147415564,G,11.1101,-3.87973,9.50685,-4.24149,10.268,-0.40215,1.95827,-1,T,31.1502,-9.20095,28.3996,-8.89557,29.8529,-0.293738,1.88411,-1,2.31274
147115,147519815,G,26.8331,-8.2252,-4.07247,25.2144,9.17818,1.73532,-2.68186,-1,T,3.63586,-0.181483,-1.27187,3.39966,1.28475,1.70019,-1.71253,1,3.2186
147115,147569775,G,9.43597,1.06056,-3.72699,-8.60297,3.87495,-1.53797,-1.29356,-1,G,29.1374,-10.5105,1.98677,27.1028,10.6966,1.6597,2.95477,-1,32.4551
147115,147582815,G,10.3855,-10.0692,1.73242,1.85889,10.2172,0.180949,2.97121,-1,T,4.50602,1.81414,-0.160545,-4.12022,1.82123,-1.55515,-0.0882662,-1,12.0841
147115,147818759,G,9.95783,-4.00858,2.49365,-8.767,4.72091,-1.37782,2.5851,-1,G,4.52417,-3.84839,-0.18778,-2.36887,3.85297,-0.581489,-3.09284,1,4.32107
147115,147860743,G,15.8102,-5.01607,-0.97656,-14.9611,5.11025,-1.79532,-2.94931,1,G,11.5081,-5.36452,-1.84529,-10.0121,5.67302,-1.33325,-2.81029,-1,2.62793
147115,147894367,G,11.1356,2.76855,10.7599,-0.741859,11.1104,-0.0667222,1.31896,-1,T,5.92057,-1.17795,0.734917,5.75451,1.3884,2.12922,2.58379,-1,11.451
147115,147997023,G,18.7032,2.44845,-3.58385,-18.1923,4.34038,-2.14012,-0.971443,-1,T,9.50059,-1.95351,2.53767,-8.94394,3.2025,-1.7508,2.22685,-1,7.59862
147115,148119551,G,19.5337,-2.36965,-2.81709,-19.1834,3.6812,-2.35303,-2.27014,-1,G,4.0351,-1.696,3.19664,1.78211,3.61869,0.47447,2.05859,-1,15.3626
147115,148151031,G,11.7066,0.881665,2.68989,11.3587,2.8307,2.09778,1.25406,-1,G,23.8548,-5.81297,-8.86847,21.3682,10.6038,1.45039,-2.151,1,11.4485
147115,148138151,G,25.2639,0.861859,-11.8402,-22.3007,11.8715,-1.38794,-1.49813,1,T,6.35205,1.22306,-2.3327,-5.77927,2.63389,-1.52726,-1.08789,1,2.42207
147115,148186143,G,6.87692,4.4891,-2.75293,-4.42156,5.26599,-0.763328,-0.550105,1,G,6.87471,5.84544,-2.60486,-2.50919,6.39956,-0.382679,-0.419207,-1,2.35869
147115,148259007,G,20.7068,7.06632,6.24747,-18.4336,9.43206,-1.42303,0.723972,1,G,7.37809,-7.36081,0.186091,0.456944,7.36317,0.0620184,3.11632,1,20.5943
147115,148290255,G,7.66392,-1.74207,0.794212,7.42017,1.91457,2.0641,2.71384,-1,G,22.8733,-3.9261,-2.69834,22.3715,4.76396,2.251,-2.53945,1,3.03773
147115,148321743,G,10.7271,-7.85327,-4.92932,5.39323,9.27211,0.553036,-2.58107,1,T,4.55724,-1.69176,-0.145405,4.22778,1.698,1.64346,-3.05585,-1,4.91794
147115,148330167,G,52.3741,-10.2461,3.0836,51.2694,10.7001,2.2707,2.84926,1,T,9.26194,-2.46068,-0.0617412,8.92825,2.46146,2.0001,-3.11651,1,2.15854
147115,147296725,G,11.7128,4.03758,-8.99751,-6.31841,9.86191,-0.603401,-1.14899,1,G,8.51833,4.83766,-4.78065,-5.1277,6.80129,-0.696288,-0.779471,-1,3.1112
147115,147504432,G,49.6687,-5.99204,9.06286,-48.4658,10.8646,-2.20083,2.15498,1,T,8.08438,0.100095,1.46253,-7.94966,1.46596,-2.39216,1.50246,-1,2.68733
147115,147525424,G,36.4642,6.40998,-12.1099,33.7918,13.7018,1.63462,-1.08397,1,T,5.42542,0.839228,-0.773475,5.30297,1.1413,2.24063,-0.744649,1,2.79344
147115,147556096,G,13.559,5.36315,-9.1469,-8.45015,10.6033,-0.730276,-1.04048,1,G,6.74018,1.846,4.52427,-4.64135,4.88638,-0.845467,1.18339,1,12.9355
147115,147778560,G,15.2321,-10.2211,-2.86813,-10.9229,10.6159,-0.901673,-2.86802,1,T,9.17453,-4.59417,-2.93133,-7.37983,5.44969,-1.11105,-2.57366,1,2.75136
147115,147787640,G,28.9415,9.00717,-5.02481,27.0411,10.314,1.69154,-0.508864,1,T,6.10646,0.331772,-2.61129,5.50897,2.63228,1.48441,-1.44442,-1,4.8297
147115,147883616,G,22.6844,-12.9139,6.58478,-17.4483,14.4958,-1.01832,2.67006,1,G,9.81103,0.607995,-7.32841,-6.49383,7.35359,-0.79624,-1.48802,-1,18.1863
147115,147991600,G,8.97079,-2.62841,-1.0172,-8.5159,2.81838,-1.82524,-2.77234,-1,G,8.56253,5.32399,-1.25793,6.58623,5.47058,1.01849,-0.232021,-1,17.0661
147115,148036760,G,21.6939,-12.072,-5.62524,17.1242,13.3182,1.06974,-2.70553,-1,G,13.9978,-9.08161,-4.94222,9.43533,10.3393,0.81818,-2.64321,1,3.05644
147115,148030064,G,14.9939,10.7991,8.79262,-5.55671,13.9259,-0.389126,0.683341,1,T,3.75149,0.297462,3.39489,-1.56484,3.4079,-0.444407,1.4834,1,5.38573
147115,148053792,G,18.567,-10.1112,2.71903,-15.3327,10.4704,-1.17485,2.87889,-1,T,2.92515,-1.18537,-0.318463,-2.65307,1.2274,-1.51363,-2.87913,-1,2.24672
147115,148076184,G,33.1932,-15.0948,0.345945,29.5601,15.0988,1.42459,3.11868,1,T,3.12962,-0.551461,-1.05679,-2.89179,1.19202,-1.61937,-2.05175,-1,19.0482
147115,148091728,G,17.8235,10.5278,-1.31146,14.3217,10.6091,1.10854,-0.123933,1,G,4.52648,3.19131,2.77626,1.60805,4.2299,0.371553,0.71596,1,7.44346
147115,148162616,G,25.3143,-7.49932,-20.4676,-12.8701,21.7982,-0.560594,-1.92201,1,T,12.6741,-2.41591,-10.7473,-6.26748,11.0155,-0.542035,-1.79191,1,2.04718
147115,148168528,G,10.9909,8.38252,3.61364,-6.12083,9.12826,-0.628362,0.40702,1,T,4.41549,-0.754891,-1.76365,-3.97556,1.91842,-1.47551,-1.97523,-1,8.59173
147115,148292776,G,37.6826,-2.75569,8.69204,-36.5626,9.11841,-2.09708,1.87781,1,T,6.53281,-1.31293,1.40869,-6.24165,1.92566,-1.89211,2.32103,1,2.05478
147115,147362942,G,32.7638,-4.98968,-7.47433,-31.5071,8.9868,-1.96735,-2.15943,-1,T,23.2212,-2.62786,-3.85349,-22.7477,4.66423,-2.28804,-2.1693,-1,2.09713
147115,147390134,G,24.3486,-8.86167,2.34302,-22.5571,9.16619,-1.63261,2.88311,1,T,10.0058,1.71575,1.32491,9.76754,2.16776,2.21061,0.65756,1,30.8566
147115,147488705,G,23.1134,1.9049,8.91219,21.2406,9.1135,1.58244,1.36022,1,G,10.5497,2.29461,7.31096,7.25051,7.66259,0.842831,1.26667,-1,6.37467
147115,147512017,G,14.5575,0.128826,3.90277,-14.0236,3.9049,-1.9905,1.5378,-1,G,12.4744,2.70304,1.10376,12.1275,2.91971,2.13132,0.387677,-1,26.3448
147115,147641953,G,7.40548,0.440361,1.54901,7.22749,1.61038,2.20675,1.29382,1,G,8.71669,-3.07685,1.78461,7.95724,3.55694,1.54491,2.616,-1,3.35919
147115,147678673,G,18.9357,16.5625,-7.46045,5.3456,18.1652,0.290187,-0.423222,1,G,15.2826,13.5913,-3.7134,5.91902,14.0895,0.408635,-0.266709,-1,3.14593
147115,147732761,G,19.7985,19.5152,-0.0970076,3.33406,19.5155,0.170022,-0.00497082,1,G,13.2284,-8.73019,7.78444,-6.17789,11.6967,-0.506267,2.4134,1,30.121
147115,147740193,G,6.04876,1.83508,-2.92856,-4.9631,3.45601,-1.15877,-1.01104,1,G,11.0822,4.38286,-1.44909,-10.0744,4.61621,-1.52236,-0.319313,-1,3.08466
147115,147764553,G,7.71133,3.29859,-4.5299,5.29648,5.60364,0.842078,-0.941406,-1,G,3.79437,1.27343,-3.29202,1.38819,3.52973,0.383794,-1.2017,1,2.36864
147115,147798657,G,13.5557,-3.6508,9.69259,-8.74472,10.3573,-0.766889,1.93102,1,T,4.51948,-0.426342,0.716468,-4.44065,0.833723,-2.3745,2.10758,-1,5.28062
147115,147853657,G,8.35032,0.158967,-4.11064,-7.26595,4.11371,-1.33395,-1.53214,-1,G,6.90928,2.9006,5.2013,-3.50142,5.95542,-0.558455,1.06209,1,10.3135
147115,147875937,G,11.1523,-5.29119,-3.02036,-9.34043,6.09256,-1.21298,-2.6229,1,G,6.96037,-1.17228,-2.99424,-6.17218,3.21554,-1.40704,-1.94396,-1,3.07833
147115,147895977,G,9.86721,-3.14761,-1.39742,9.24611,3.44387,1.71376,-2.72377,-1,G,10.4536,2.13557,-3.96455,9.43333,4.50314,1.48526,-1.0767,-1,5.85133
147115,147911761,G,11.1993,-0.672352,4.31678,10.3114,4.36883,1.59403,1.72531,-1,G,11.8207,7.78589,-3.56115,-8.14966,8.56165,-0.846934,-0.428978,-1,21.7732
147115,147914825,G,22.1811,3.30391,8.78505,20.0972,9.38578,1.50507,1.21108,-1,G,18.969,-3.85723,-11.3428,14.7062,11.9807,1.03346,-1.89859,1,21.7991
147115,147979297,G,38.0324,-1.50131,-7.38468,-37.2782,7.53574,-2.30196,-1.77136,1,T,5.46589,1.49148,5.24502,0.360568,5.45296,0.0660754,1.29375,1,22.9044
147115,148078377,G,33.9039,9.61303,4.27132,32.2306,10.5192,1.83848,0.418126,1,T,6.14779,0.685528,1.13203,6.00272,1.32342,2.21708,1.02629,1,2.66411
147115,148104593,G,30.5264,-0.733051,9.61852,28.9619,9.64642,1.81919,1.64686,-1,T,13.2724,0.675837,3.17889,12.868,3.24994,2.08483,1.36131,-1,2.19476
147115,148203025,G,7.91592,2.44865,-1.50337,-7.37528,2.87333,-1.67176,-0.550619,-1,T,3.47464,0.605378,0.587869,-3.36896,0.843844,-2.09287,0.770726,1,2.03498
147115,148253945,G,14.219,-3.01729,0.555472,13.8837,3.06799,2.21483,2.95953,1,G,26.9739,4.51158,24.6074,10.0848,25.0176,0.392922,1.38947,1,22.0673
147115,148314353,G,8.65303,-1.86059,-2.39993,8.10199,3.03668,1.70789,-2.23027,1,G,3.93053,1.63977,-3.12757,1.72259,3.53137,0.470272,-1.0879,1,5.58761
147115,147250263,G,7.76149,2.79632,4.89238,5.33618,5.63514,0.843358,1.05155,-1,T,5.39427,1.06716,0.154098,5.28435,1.07823,2.29283,0.143409,-1,4.45925
147115,147330575,G,6.6315,0.800299,5.09151,4.17153,5.15403,0.73997,1.41489,-1,T,11.6275,-2.53171,-2.31622,-11.1091,3.43139,-1.89099,-2.40061,-1,16.5699
